precision,recall,f1,internal_keywords,name,summary,title
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.88,0.78,0.76
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.88,0.78,0.78
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.88,0.78,0.8
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.88,0.78,0.82
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.88,0.82,0.76
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.88,0.82,0.78
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.88,0.82,0.8
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.88,0.82,0.82
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.9,0.78,0.76
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.9,0.78,0.78
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.9,0.78,0.8
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.9,0.78,0.82
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.9,0.82,0.76
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.9,0.82,0.78
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.9,0.82,0.8
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.9,0.82,0.82
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.92,0.78,0.76
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.92,0.78,0.78
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.92,0.78,0.8
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.92,0.78,0.82
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.92,0.82,0.76
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.92,0.82,0.78
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.92,0.82,0.8
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.92,0.82,0.82
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.95,0.78,0.76
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.95,0.78,0.78
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.95,0.78,0.8
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.95,0.78,0.82
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.95,0.82,0.76
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.95,0.82,0.78
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.95,0.82,0.8
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.78,0.95,0.82,0.82
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.88,0.78,0.76
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.88,0.78,0.78
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.88,0.78,0.8
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.88,0.78,0.82
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.88,0.82,0.76
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.88,0.82,0.78
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.88,0.82,0.8
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.88,0.82,0.82
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.9,0.78,0.76
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.9,0.78,0.78
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.9,0.78,0.8
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.9,0.78,0.82
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.9,0.82,0.76
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.9,0.82,0.78
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.9,0.82,0.8
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.9,0.82,0.82
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.92,0.78,0.76
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.92,0.78,0.78
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.92,0.78,0.8
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.92,0.78,0.82
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.92,0.82,0.76
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.92,0.82,0.78
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.92,0.82,0.8
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.92,0.82,0.82
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.95,0.78,0.76
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.95,0.78,0.78
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.95,0.78,0.8
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.95,0.78,0.82
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.95,0.82,0.76
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.95,0.82,0.78
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.95,0.82,0.8
0.7741935483870968,0.6666666666666666,0.7164179104477612,0.82,0.95,0.82,0.82
0.75,0.6666666666666666,0.7058823529411765,0.78,0.88,0.78,0.7
0.75,0.6666666666666666,0.7058823529411765,0.78,0.88,0.78,0.73
0.75,0.6666666666666666,0.7058823529411765,0.78,0.88,0.82,0.7
0.75,0.6666666666666666,0.7058823529411765,0.78,0.88,0.82,0.73
0.75,0.6666666666666666,0.7058823529411765,0.78,0.9,0.78,0.7
0.75,0.6666666666666666,0.7058823529411765,0.78,0.9,0.78,0.73
0.75,0.6666666666666666,0.7058823529411765,0.78,0.9,0.82,0.7
0.75,0.6666666666666666,0.7058823529411765,0.78,0.9,0.82,0.73
0.75,0.6666666666666666,0.7058823529411765,0.78,0.92,0.78,0.7
0.75,0.6666666666666666,0.7058823529411765,0.78,0.92,0.78,0.73
0.75,0.6666666666666666,0.7058823529411765,0.78,0.92,0.82,0.7
0.75,0.6666666666666666,0.7058823529411765,0.78,0.92,0.82,0.73
0.75,0.6666666666666666,0.7058823529411765,0.78,0.95,0.78,0.7
0.75,0.6666666666666666,0.7058823529411765,0.78,0.95,0.78,0.73
0.75,0.6666666666666666,0.7058823529411765,0.78,0.95,0.82,0.7
0.75,0.6666666666666666,0.7058823529411765,0.78,0.95,0.82,0.73
0.75,0.6666666666666666,0.7058823529411765,0.82,0.88,0.78,0.7
0.75,0.6666666666666666,0.7058823529411765,0.82,0.88,0.78,0.73
0.75,0.6666666666666666,0.7058823529411765,0.82,0.88,0.82,0.7
0.75,0.6666666666666666,0.7058823529411765,0.82,0.88,0.82,0.73
0.75,0.6666666666666666,0.7058823529411765,0.82,0.9,0.78,0.7
0.75,0.6666666666666666,0.7058823529411765,0.82,0.9,0.78,0.73
0.75,0.6666666666666666,0.7058823529411765,0.82,0.9,0.82,0.7
0.75,0.6666666666666666,0.7058823529411765,0.82,0.9,0.82,0.73
0.75,0.6666666666666666,0.7058823529411765,0.82,0.92,0.78,0.7
0.75,0.6666666666666666,0.7058823529411765,0.82,0.92,0.78,0.73
0.75,0.6666666666666666,0.7058823529411765,0.82,0.92,0.82,0.7
0.75,0.6666666666666666,0.7058823529411765,0.82,0.92,0.82,0.73
0.75,0.6666666666666666,0.7058823529411765,0.82,0.95,0.78,0.7
0.75,0.6666666666666666,0.7058823529411765,0.82,0.95,0.78,0.73
0.75,0.6666666666666666,0.7058823529411765,0.82,0.95,0.82,0.7
0.75,0.6666666666666666,0.7058823529411765,0.82,0.95,0.82,0.73
